REGIAO:;S;;;;;;;;;;;;;;;;
UF:;PR;;;;;;;;;;;;;;;;
ESTACAO:;CURITIBA;;;;;;;;;;;;;;;;
CODIGO (WMO):;A807;;;;;;;;;;;;;;;;
LATITUDE:;-25,4486111;;;;;;;;;;;;;;;;
LONGITUDE:;-49,23055554;;;;;;;;;;;;;;;;
ALTITUDE:;922,91;;;;;;;;;;;;;;;;
DATA DE FUNDACAO:;28/01/2003;;;;;;;;;;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s);;;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s)
02/05/2023;0000 UTC;0;;16,9;18,4;16,9;92;3,3;;mai/23;;;;;;;
02/05/2023;0100 UTC;0;;16,3;16,9;16,3;94;2,6;;2;0,00;1762,58;17,85;18,45;17,22;80,50;3,65
02/05/2023;0200 UTC;0;;15,9;16,4;15,9;95;2,8;;3;0,00;1294,08;19,10;19,52;18,66;83,21;3,63
02/05/2023;0300 UTC;0;;15,4;15,9;15,3;97;1,9;;4;0,61;1344,84;20,98;21,63;20,42;80,96;4,06
02/05/2023;0400 UTC;0;;14;15,4;14;98;1,5;;5;1,42;1214,12;20,83;21,45;20,27;85,38;4,32
02/05/2023;0500 UTC;0;;14,5;14,5;13,9;99;1,6;;8;0,00;1043,00;20,92;21,36;20,55;82,67;4,88
02/05/2023;0600 UTC;0;;14,7;14,7;14,4;100;2,1;;9;0,00;1013,26;19,92;20,47;19,54;86,63;3,53
02/05/2023;0700 UTC;0;;14,3;14,7;14,3;100;2,8;;10;0,00;1688,90;15,60;16,28;15,12;70,54;3,80
02/05/2023;0800 UTC;0;;14,4;14,5;14,2;100;2;;11;0,00;1049,48;17,91;18,33;17,48;85,25;3,82
02/05/2023;0900 UTC;0;;14;14,4;13,9;100;2;;12;0,00;1265,05;13,09;13,77;12,67;83,17;3,89
02/05/2023;1000 UTC;0;10,7;13,9;14,2;13,9;100;2,5;;15;0,01;1744,04;14,70;15,50;13,96;69,75;2,29
02/05/2023;1100 UTC;0;232,5;14,3;14,4;13,9;100;2,5;;16;0,05;1046,70;15,31;15,87;14,77;79,97;4,26
02/05/2023;1200 UTC;0;527;14,8;15,1;14,2;100;1,9;;17;0,01;1774,65;13,55;14,23;12,99;82,92;3,27
02/05/2023;1300 UTC;0;1819,4;18,3;18,3;14,7;85;4,3;;18;0,01;1602,83;13,53;14,22;12,81;83,21;2,48
02/05/2023;1400 UTC;0;2858,9;18,9;19,5;17,9;78;5,4;;19;0,01;1063,61;14,51;15,22;13,84;82,04;3,16
02/05/2023;1500 UTC;0;3346,6;21,3;21,4;18,9;65;7,3;;22;0,00;1161,02;16,82;17,31;16,33;77,21;4,20
02/05/2023;1600 UTC;0;3415;23;23,3;20,9;50;7;;23;0,00;1606,88;17,67;18,47;17,00;70,83;2,43
02/05/2023;1700 UTC;0;3069,4;23,8;24,3;22,7;47;7,6;;24;0,00;1555,09;16,28;16,93;15,68;81,50;3,65
02/05/2023;1800 UTC;0;2734;23,7;24,3;23,2;47;5,5;;25;0,00;1162,32;17,19;17,75;16,62;85,71;3,89
